Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"01/04/2005 23","10.51","54.80","8270.0"
"01/04/2005 24","10.79","54.79","7907.0"
"01/05/2005 01","18.65","54.75","7641.0"
"01/05/2005 02","28.74","54.71","7495.0"
"01/05/2005 03","29.01","54.71","7464.0"
"01/05/2005 04","29.01","54.66","7433.0"
"01/05/2005 05","29.01","54.66","7467.0"
"01/05/2005 06","17.50","54.60","7560.0"
"01/05/2005 07","22.65","54.56","7893.0"
"01/05/2005 08","14.05","54.30","8358.0"
"01/05/2005 09","41.13","54.24","8511.0"
"01/05/2005 10","39.08","54.20","8445.0"
"01/05/2005 11","29.11","54.10","8463.0"
"01/05/2005 12","46.58","54.08","8418.0"
"01/05/2005 13","53.91","54.09","8350.0"
"01/05/2005 14","40.90","54.10","8337.0"
"01/05/2005 15","11.05","54.03","8301.0"
"01/05/2005 16","10.84","53.94","8301.0"
"01/05/2005 17","26.19","53.52","8544.0"
"01/05/2005 18","43.87","52.64","8985.0"
"01/05/2005 19","54.35","52.25","8871.0"
"01/05/2005 20","55.88","52.08","8760.0"
"01/05/2005 21","35.83","51.63","8619.0"
"01/05/2005 22","47.82","51.47","8401.0"
"01/05/2005 23","10.84","51.39","8037.0"
"01/05/2005 24","10.84","51.31","7652.0"
"01/06/2005 01","10.84","51.25","7387.0"
"01/06/2005 02","10.84","51.18","7253.0"
"01/06/2005 03","10.84","51.16","7215.0"
"01/06/2005 04","22.71","51.12","7206.0"
"01/06/2005 05","10.84","51.02","7214.0"
"01/06/2005 06","10.84","50.96","7310.0"
"01/06/2005 07","10.84","50.79","7659.0"
"01/06/2005 08","38.89","50.74","8177.0"
"01/06/2005 09","170.15","50.86","8317.0"
"01/06/2005 10","13.43","50.79","8360.0"
"01/06/2005 11","112.94","50.88","8391.0"
"01/06/2005 12","10.84","50.81","8431.0"
"01/06/2005 13","11.88","50.78","8468.0"
"01/06/2005 14","12.19","50.73","8503.0"
"01/06/2005 15","15.34","50.69","8511.0"
"01/06/2005 16","117.34","50.78","8552.0"
"01/06/2005 17","63.27","50.78","8787.0"
"01/06/2005 18","25.29","50.71","9143.0"
"01/06/2005 19","74.81","50.71","9036.0"
"01/06/2005 20","75.53","50.73","8910.0"
"01/06/2005 21","76.73","50.74","8746.0"
"01/06/2005 22","32.09","50.59","8580.0"
"01/06/2005 23","14.53","50.58","8238.0"
"01/06/2005 24","18.78","50.40","7860.0"
"01/07/2005 01","10.84","50.36","7632.0"
"01/07/2005 02","10.84","50.34","7510.0"
"01/07/2005 03","10.91","50.28","7416.0"
"01/07/2005 04","37.71","50.24","7403.0"
"01/07/2005 05","13.26","50.20","7415.0"
"01/07/2005 06","10.67","50.19","7525.0"
"01/07/2005 07","23.26","50.20","7891.0"
"01/07/2005 08","62.25","50.22","8360.0"
"01/07/2005 09","74.00","50.24","8551.0"
"01/07/2005 10","58.53","50.25","8505.0"
"01/07/2005 11","44.64","50.23","8554.0"
"01/07/2005 12","65.66","50.25","8584.0"
"01/07/2005 13","53.61","50.25","8541.0"
"01/07/2005 14","53.34","50.24","8535.0"
"01/07/2005 15","55.66","50.23","8488.0"
"01/07/2005 16","26.22","50.18","8444.0"
"01/07/2005 17","18.66","50.08","8620.0"
"01/07/2005 18","56.68","50.10","8903.0"
"01/07/2005 19","57.26","50.15","8770.0"
"01/07/2005 20","154.08","50.28","8596.0"
"01/07/2005 21","91.19","50.32","8424.0"
"01/07/2005 22","407.00","50.83","8164.0"
"01/07/2005 23","175.32","51.06","7953.0"
"01/07/2005 24","391.00","51.59","7612.0"
"01/08/2005 01","446.01","52.19","7380.0"
"01/08/2005 02","74.00","52.28","7238.0"
"01/08/2005 03","69.22","52.36","7162.0"
"01/08/2005 04","37.90","52.40","7145.0"
"01/08/2005 05","28.81","52.43","7172.0"
"01/08/2005 06","38.50","52.47","7268.0"
"01/08/2005 07","109.86","52.59","7375.0"
"01/08/2005 08","55.65","52.64","7552.0"
"01/08/2005 09","90.79","52.73","7788.0"
"01/08/2005 10","60.00","52.78","7926.0"
"01/08/2005 11","72.29","52.82","8059.0"
"01/08/2005 12","73.57","52.87","8125.0"
"01/08/2005 13","72.52","52.91","8111.0"
"01/08/2005 14","62.02","52.94","8055.0"
"01/08/2005 15","60.55","52.96","8028.0"
"01/08/2005 16","71.51","52.77","8076.0"
"01/08/2005 17","75.89","52.80","8293.0"
"01/08/2005 18","129.56","52.90","8651.0"
"01/08/2005 19","105.64","52.97","8569.0"
"01/08/2005 20","96.14","52.66","8437.0"
"01/08/2005 21","82.80","52.62","8322.0"
"01/08/2005 22","143.98","52.34","8154.0"
"01/08/2005 23","110.03","52.43","7960.0"
"01/08/2005 24","119.99","52.51","7695.0"
"01/09/2005 01","78.69","52.59","7450.0"
"01/09/2005 02","61.62","52.61","7334.0"
"01/09/2005 03","68.73","52.66","7252.0"
"01/09/2005 04","68.73","52.74","7184.0"
"01/09/2005 05","57.50","52.79","7198.0"
"01/09/2005 06","67.98","52.81","7225.0"
"01/09/2005 07","85.47","52.36","7280.0"
"01/09/2005 08","61.99","51.62","7495.0"
"01/09/2005 09","54.83","51.59","7662.0"
"01/09/2005 10","27.35","51.61","7815.0"
"01/09/2005 11","111.65","51.70","7853.0"
"01/09/2005 12","54.32","51.72","7932.0"
"01/09/2005 13","39.52","51.71","8012.0"
"01/09/2005 14","48.24","51.72","8036.0"
"01/09/2005 15","83.28","51.78","7959.0"
"01/09/2005 16","77.00","51.84","7974.0"
"01/09/2005 17","84.83","51.49","8240.0"
"01/09/2005 18","87.10","51.06","8720.0"
"01/09/2005 19","87.65","51.10","8693.0"
"01/09/2005 20","91.16","51.12","8579.0"
"01/09/2005 21","81.66","51.15","8481.0"
"01/09/2005 22","188.40","51.32","8314.0"
"01/09/2005 23","80.75","51.33","8032.0"
"01/09/2005 24","37.28","51.30","7696.0"
"01/10/2005 01","24.25","51.27","7463.0"
"01/10/2005 02","37.98","51.24","7345.0"
"01/10/2005 03","55.71","51.27","7336.0"
"01/10/2005 04","55.71","51.26","7366.0"
"01/10/2005 05","55.71","51.30","7389.0"
"01/10/2005 06","56.76","51.32","7534.0"
"01/10/2005 07","112.44","51.36","7893.0"
"01/10/2005 08","75.86","51.34","8339.0"
"01/10/2005 09","57.64","50.63","8532.0"
"01/10/2005 10","65.38","50.41","8518.0"
"01/10/2005 11","76.96","49.98","8539.0"
"01/10/2005 12","170.36","50.12","8502.0"
"01/10/2005 13","33.26","50.14","8467.0"
"01/10/2005 14","73.70","50.19","8489.0"
"01/10/2005 15","77.59","50.23","8418.0"
"01/10/2005 16","52.11","50.22","8491.0"
"01/10/2005 17","70.03","50.24","8676.0"
"01/10/2005 18","65.76","50.24","9102.0"
"01/10/2005 19","66.97","50.25","8996.0"
"01/10/2005 20","36.45","50.07","8913.0"
"01/10/2005 21","60.23","50.02","8789.0"
"01/10/2005 22","43.73","49.73","8589.0"
"01/10/2005 23","19.35","49.69","8203.0"
"01/10/2005 24","10.84","49.62","7822.0"
"01/11/2005 01","22.56","49.58","7620.0"
"01/11/2005 02","33.52","49.56","7493.0"
"01/11/2005 03","36.93","49.54","7449.0"
"01/11/2005 04","18.34","49.50","7410.0"
"01/11/2005 05","14.14","49.45","7443.0"
"01/11/2005 06","10.84","49.37","7607.0"
"01/11/2005 07","28.04","49.34","7982.0"
"01/11/2005 08","32.57","49.32","8433.0"
"01/11/2005 09","65.88","49.34","8541.0"
"01/11/2005 10","43.38","49.31","8490.0"
"01/11/2005 11","43.36","49.28","8507.0"
"01/11/2005 12","46.52","49.26","8482.0"
"01/11/2005 13","49.57","49.25","8363.0"
"01/11/2005 14","27.64","49.21","8356.0"
"01/11/2005 15","22.89","49.17","8361.0"
"01/11/2005 16","32.34","49.03","8400.0"
"01/11/2005 17","18.61","48.60","8542.0"
"01/11/2005 18","71.05","47.80","8892.0"
"01/11/2005 19","45.30","47.29","8813.0"
"01/11/2005 20","64.36","47.29","8675.0"
"01/11/2005 21","60.69","47.00","8603.0"
"01/11/2005 22","30.73","46.94","8437.0"
"01/11/2005 23","10.84","46.88","8111.0"
"01/11/2005 24","10.84","46.73","7761.0"
"01/12/2005 01","10.84","46.64","7541.0"
"01/12/2005 02","10.84","46.58","7468.0"
"01/12/2005 03","13.11","46.49","7415.0"
"01/12/2005 04","10.84","46.39","7438.0"
"01/12/2005 05","10.84","46.32","7461.0"
"01/12/2005 06","10.84","46.23","7587.0"
"01/12/2005 07","46.01","46.17","7953.0"
"01/12/2005 08","109.24","46.13","8451.0"
"01/12/2005 09","61.68","46.02","8638.0"
"01/12/2005 10","64.37","46.00","8642.0"
"01/12/2005 11","143.61","46.07","8645.0"
"01/12/2005 12","56.21","46.03","8633.0"
"01/12/2005 13","58.66","46.02","8591.0"
"01/12/2005 14","55.94","46.02","8529.0"
"01/12/2005 15","51.85","46.01","8499.0"
"01/12/2005 16","45.95","46.00","8489.0"
"01/12/2005 17","58.58","45.93","8680.0"
"01/12/2005 18","70.63","45.81","9095.0"
"01/12/2005 19","58.70","45.81","9063.0"
"01/12/2005 20","65.81","45.81","8943.0"
"01/12/2005 21","85.17","45.81","8808.0"
"01/12/2005 22","58.27","45.77","8608.0"
"01/12/2005 23","49.76","45.79","8291.0"
"01/12/2005 24","17.50","45.76","7992.0"
"01/13/2005 01","191.68","46.00","7769.0"
"01/13/2005 02","340.49","46.46","7553.0"
"01/13/2005 03","47.78","46.51","7571.0"
"01/13/2005 04","60.00","46.58","7569.0"
"01/13/2005 05","60.00","46.65","7580.0"
"01/13/2005 06","57.61","46.70","7704.0"
"01/13/2005 07","82.94","46.58","7981.0"
"01/13/2005 08","70.19","46.60","8481.0"
"01/13/2005 09","61.25","46.56","8655.0"
"01/13/2005 10","24.44","46.52","8590.0"
"01/13/2005 11","12.62","46.46","8569.0"
"01/13/2005 12","18.45","46.40","8608.0"
"01/13/2005 13","50.18","46.38","8578.0"
"01/13/2005 14","61.65","46.38","8543.0"
"01/13/2005 15","41.13","46.35","8510.0"
"01/13/2005 16","16.43","46.29","8519.0"
"01/13/2005 17","56.99","45.79","8717.0"
"01/13/2005 18","97.24","44.81","9051.0"
"01/13/2005 19","59.87","44.81","9061.0"
"01/13/2005 20","55.61","44.80","8991.0"
"01/13/2005 21","57.68","44.80","8903.0"
"01/13/2005 22","38.32","44.80","8713.0"
"01/13/2005 23","10.84","44.80","8386.0"
"01/13/2005 24","23.94","44.82","8032.0"
"01/14/2005 01","10.84","44.82","7800.0"
"01/14/2005 02","65.91","44.90","7643.0"
"01/14/2005 03","17.15","44.91","7600.0"
"01/14/2005 04","11.95","44.92","7616.0"
"01/14/2005 05","39.66","44.96","7657.0"
"01/14/2005 06","36.57","45.00","7807.0"
"01/14/2005 07","83.64","45.11","8114.0"
"01/14/2005 08","76.64","45.19","8552.0"
"01/14/2005 09","41.88","45.22","8770.0"
"01/14/2005 10","28.32","45.23","8784.0"
"01/14/2005 11","58.87","45.25","8775.0"
"01/14/2005 12","46.39","45.29","8795.0"
"01/14/2005 13","55.78","45.35","8735.0"
"01/14/2005 14","60.85","45.40","8684.0"
"01/14/2005 15","57.69","45.42","8608.0"
"01/14/2005 16","43.00","45.47","8561.0"
"01/14/2005 17","83.58","45.42","8621.0"
"01/14/2005 18","33.77","45.39","8962.0"
"01/14/2005 19","57.38","45.40","8938.0"
"01/14/2005 20","57.84","45.41","8827.0"
"01/14/2005 21","42.58","45.39","8723.0"
"01/14/2005 22","57.07","45.38","8531.0"
"01/14/2005 23","19.16","45.39","8316.0"
"01/14/2005 24","41.23","45.44","8024.0"
"01/15/2005 01","35.50","45.47","7824.0"
"01/15/2005 02","10.84","45.48","7695.0"
"01/15/2005 03","10.84","45.48","7640.0"
"01/15/2005 04","81.14","45.59","7586.0"
"01/15/2005 05","13.81","45.59","7543.0"
"01/15/2005 06","33.89","45.63","7567.0"
"01/15/2005 07","216.08","45.92","7612.0"
"01/15/2005 08","136.41","46.09","7871.0"
"01/15/2005 09","39.01","46.09","8103.0"
"01/15/2005 10","187.99","46.34","8217.0"
"01/15/2005 11","29.92","46.37","8308.0"
"01/15/2005 12","91.33","46.48","8332.0"
"01/15/2005 13","61.40","46.55","8292.0"
"01/15/2005 14","46.07","46.60","8206.0"
"01/15/2005 15","89.44","46.71","8093.0"
"01/15/2005 16","54.25","46.77","8065.0"
"01/15/2005 17","161.51","46.94","8253.0"
"01/15/2005 18","71.12","46.94","8633.0"
"01/15/2005 19","56.41","46.94","8654.0"
"01/15/2005 20","65.58","46.96","8510.0"
"01/15/2005 21","54.36","46.95","8394.0"
"01/15/2005 22","61.91","46.96","8254.0"
"01/15/2005 23","46.87","47.01","8044.0"
"01/15/2005 24","208.74","47.28","7796.0"
"01/16/2005 01","453.24","47.90","7533.0"
"01/16/2005 02","47.54","47.96","7441.0"
"01/16/2005 03","36.90","48.00","7386.0"
"01/16/2005 04","41.39","48.05","7335.0"
"01/16/2005 05","67.70","48.13","7316.0"
"01/16/2005 06","39.85","48.18","7316.0"
"01/16/2005 07","10.84","48.18","7388.0"
"01/16/2005 08","10.84","48.15","7569.0"
"01/16/2005 09","10.84","48.11","7718.0"
"01/16/2005 10","40.85","48.16","7807.0"
"01/16/2005 11","45.71","48.21","7904.0"
"01/16/2005 12","41.25","48.25","7977.0"
"01/16/2005 13","50.88","48.31","7981.0"
"01/16/2005 14","39.25","48.35","7944.0"
"01/16/2005 15","517.57","49.06","7902.0"
"01/16/2005 16","92.49","49.18","7951.0"
"01/16/2005 17","516.15","49.86","8109.0"
"01/16/2005 18","997.00","51.17","8465.0"
"01/16/2005 19","282.59","51.54","8408.0"
"01/16/2005 20","72.06","51.59","8347.0"
"01/16/2005 21","75.74","51.61","8273.0"
"01/16/2005 22","55.17","51.61","8103.0"
"01/16/2005 23","40.34","51.65","7855.0"
"01/16/2005 24","36.04","51.69","7534.0"
"01/17/2005 01","47.15","51.74","7308.0"
"01/17/2005 02","37.40","51.78","7222.0"
"01/17/2005 03","11.87","51.78","7179.0"
"01/17/2005 04","10.45","51.78","7182.0"
"01/17/2005 05","10.84","51.78","7222.0"
"01/17/2005 06","10.84","51.78","7378.0"
"01/17/2005 07","10.84","51.78","7693.0"
"01/17/2005 08","17.11","51.80","8198.0"
"01/17/2005 09","46.00","51.85","8380.0"
"01/17/2005 10","10.84","51.85","8375.0"
"01/17/2005 11","48.96","51.89","8392.0"
"01/17/2005 12","53.42","51.94","8382.0"
"01/17/2005 13","54.93","52.00","8334.0"
"01/17/2005 14","55.27","52.06","8316.0"
"01/17/2005 15","45.90","52.11","8235.0"
"01/17/2005 16","32.95","52.14","8282.0"
"01/17/2005 17","51.66","52.14","8459.0"
"01/17/2005 18","50.83","51.92","8767.0"
"01/17/2005 19","26.63","51.88","8705.0"
"01/17/2005 20","32.28","51.85","8562.0"
"01/17/2005 21","43.26","51.85","8443.0"
"01/17/2005 22","26.96","51.82","8231.0"
"01/17/2005 23","10.20","51.82","7884.0"
"01/17/2005 24","10.79","51.71","7424.0"
"01/18/2005 01","17.68","51.73","7208.0"
"01/18/2005 02","23.36","51.75","7101.0"
"01/18/2005 03","9.20","51.75","7040.0"
"01/18/2005 04","9.68","51.76","7012.0"
"01/18/2005 05","10.15","51.76","7061.0"
"01/18/2005 06","10.84","51.76","7226.0"
"01/18/2005 07","24.73","51.79","7590.0"
"01/18/2005 08","11.69","51.80","8067.0"
"01/18/2005 09","10.84","51.80","8207.0"
"01/18/2005 10","10.84","51.80","8184.0"
"01/18/2005 11","10.84","51.80","8221.0"
"01/18/2005 12","10.84","51.80","8228.0"
"01/18/2005 13","10.84","51.80","8209.0"
"01/18/2005 14","10.84","51.81","8208.0"
"01/18/2005 15","10.84","51.82","8180.0"
"01/18/2005 16","10.84","51.84","8208.0"
"01/18/2005 17","23.80","51.87","8395.0"
"01/18/2005 18","59.23","51.93","8782.0"
"01/18/2005 19","36.56","51.97","8651.0"
"01/18/2005 20","15.93","51.98","8556.0"
"01/18/2005 21","40.55","52.03","8515.0"
"01/18/2005 22","16.26","52.04","8337.0"
"01/18/2005 23","11.11","52.04","7948.0"
"01/18/2005 24","10.84","52.06","7595.0"
"01/19/2005 01","10.84","52.07","7367.0"
"01/19/2005 02","45.55","52.13","7242.0"
"01/19/2005 03","10.84","52.15","7124.0"
"01/19/2005 04","10.84","52.16","7135.0"
"01/19/2005 05","10.84","52.18","7136.0"
"01/19/2005 06","26.71","52.22","7247.0"
"01/19/2005 07","21.56","52.25","7612.0"
"01/19/2005 08","24.97","52.27","8060.0"
"01/19/2005 09","101.60","52.40","8222.0"
"01/19/2005 10","11.56","52.40","8204.0"
"01/19/2005 11","24.82","52.40","8223.0"
"01/19/2005 12","26.63","52.41","8150.0"
"01/19/2005 13","10.84","52.40","8120.0"
"01/19/2005 14","107.46","52.53","8103.0"
"01/19/2005 15","14.06","52.50","8106.0"
"01/19/2005 16","29.48","52.51","8122.0"
"01/19/2005 17","88.02","52.59","8259.0"
"01/19/2005 18","172.83","52.71","8621.0"
"01/19/2005 19","59.72","52.69","8568.0"
"01/19/2005 20","45.86","52.66","8509.0"
"01/19/2005 21","18.88","52.56","8419.0"
"01/19/2005 22","26.23","52.48","8218.0"
"01/19/2005 23","10.51","52.47","7849.0"
"01/19/2005 24","9.87","52.47","7458.0"
"01/20/2005 01","41.85","52.52","7180.0"
"01/20/2005 02","9.61","52.52","7092.0"
"01/20/2005 03","10.84","52.52","7065.0"
"01/20/2005 04","10.48","52.52","7032.0"
"01/20/2005 05","19.28","52.53","7032.0"
"01/20/2005 06","8.22","52.50","7174.0"
"01/20/2005 07","8.81","52.50","7543.0"
"01/20/2005 08","11.64","52.45","8086.0"
"01/20/2005 09","19.53","52.42","8259.0"
"01/20/2005 10","11.25","52.40","8214.0"
"01/20/2005 11","24.12","52.31","8264.0"
"01/20/2005 12","119.39","52.40","8209.0"
"01/20/2005 13","14.41","52.35","8200.0"
"01/20/2005 14","119.29","52.45","8189.0"
"01/20/2005 15","189.25","52.66","8111.0"
"01/20/2005 16","25.90","52.67","8154.0"
"01/20/2005 17","12.49","52.43","8301.0"
"01/20/2005 18","51.62","52.40","8637.0"
"01/20/2005 19","38.55","52.09","8608.0"
"01/20/2005 20","25.27","52.03","8511.0"
"01/20/2005 21","15.49","51.91","8441.0"
"01/20/2005 22","10.84","51.70","8232.0"
"01/20/2005 23","9.56","51.65","7886.0"
"01/20/2005 24","8.36","51.60","7559.0"
"01/21/2005 01","8.96","51.37","7343.0"
"01/21/2005 02","8.96","51.17","7239.0"
"01/21/2005 03","10.09","51.12","7211.0"
"01/21/2005 04","9.39","51.08","7211.0"
"01/21/2005 05","8.82","51.03","7228.0"
"01/21/2005 06","9.01","50.99","7337.0"
"01/21/2005 07","9.83","50.94","7731.0"
"01/21/2005 08","29.89","50.97","8222.0"
"01/21/2005 09","36.85","50.97","8441.0"
"01/21/2005 10","104.89","51.04","8446.0"
"01/21/2005 11","34.57","51.01","8486.0"
"01/21/2005 12","20.84","50.95","8480.0"
"01/21/2005 13","25.70","50.89","8419.0"
"01/21/2005 14","50.21","50.89","8435.0"
"01/21/2005 15","55.88","50.89","8437.0"
"01/21/2005 16","23.39","50.89","8433.0"
"01/21/2005 17","46.26","50.89","8540.0"
"01/21/2005 18","74.43","50.87","8791.0"
"01/21/2005 19","30.02","50.84","8781.0"
"01/21/2005 20","126.55","50.93","8614.0"
"01/21/2005 21","10.84","50.81","8496.0"
"01/21/2005 22","70.07","50.43","8278.0"
"01/21/2005 23","10.84","50.38","8015.0"
"01/21/2005 24","9.82","50.24","7705.0"
"01/22/2005 01","10.84","50.21","7457.0"
"01/22/2005 02","10.84","50.13","7316.0"
"01/22/2005 03","10.84","50.10","7251.0"
"01/22/2005 04","10.84","50.10","7197.0"
"01/22/2005 05","10.84","50.10","7226.0"
"01/22/2005 06","10.78","50.10","7251.0"
"01/22/2005 07","8.18","50.03","7356.0"
"01/22/2005 08","9.35","49.96","7559.0"
"01/22/2005 09","10.81","49.90","7808.0"
"01/22/2005 10","10.84","49.77","7899.0"
"01/22/2005 11","10.84","49.68","7958.0"
"01/22/2005 12","10.84","49.63","7976.0"
"01/22/2005 13","10.84","49.60","7934.0"
"01/22/2005 14","10.84","49.60","7864.0"
"01/22/2005 15","9.98","49.55","7809.0"
"01/22/2005 16","10.63","49.49","7808.0"
"01/22/2005 17","19.80","49.44","7914.0"
"01/22/2005 18","47.16","49.39","8269.0"
"01/22/2005 19","24.02","49.29","8243.0"
"01/22/2005 20","10.84","49.19","8104.0"
"01/22/2005 21","10.77","49.04","7994.0"
"01/22/2005 22","9.82","48.95","7848.0"
"01/22/2005 23","9.49","48.89","7623.0"
"01/22/2005 24","8.40","48.83","7389.0"
"01/23/2005 01","9.26","48.77","7195.0"
"01/23/2005 02","8.70","48.72","7030.0"
"01/23/2005 03","7.74","48.69","6934.0"
"01/23/2005 04","7.75","48.68","6892.0"
"01/23/2005 05","7.76","48.64","6894.0"
"01/23/2005 06","7.76","48.61","6907.0"
"01/23/2005 07","7.76","48.55","7001.0"
"01/23/2005 08","8.66","48.52","7140.0"
"01/23/2005 09","9.82","48.46","7319.0"
"01/23/2005 10","10.59","48.39","7437.0"
"01/23/2005 11","13.15","48.33","7579.0"
"01/23/2005 12","13.06","48.27","7588.0"
"01/23/2005 13","177.13","48.42","7572.0"
"01/23/2005 14","112.57","48.51","7486.0"
"01/23/2005 15","96.07","48.56","7479.0"
"01/23/2005 16","10.84","48.54","7492.0"
"01/23/2005 17","62.31","48.13","7681.0"
"01/23/2005 18","370.36","48.53","8060.0"
"01/23/2005 19","37.64","48.55","8088.0"
"01/23/2005 20","33.26","48.54","8001.0"
"01/23/2005 21","42.46","48.54","7908.0"
"01/23/2005 22","35.01","48.51","7746.0"
"01/23/2005 23","12.08","48.50","7463.0"
"01/23/2005 24","10.84","48.50","7171.0"
"01/24/2005 01","10.84","48.48","6966.0"
"01/24/2005 02","10.84","48.49","6880.0"
"01/24/2005 03","10.84","48.49","6822.0"
"01/24/2005 04","10.84","48.49","6770.0"
"01/24/2005 05","10.84","48.49","6798.0"
"01/24/2005 06","10.84","48.49","6960.0"
"01/24/2005 07","32.22","48.53","7414.0"
"01/24/2005 08","42.10","48.57","7905.0"
"01/24/2005 09","79.88","48.61","8073.0"
"01/24/2005 10","74.73","48.66","8112.0"
"01/24/2005 11","42.38","48.70","8115.0"
"01/24/2005 12","54.05","48.73","8140.0"
"01/24/2005 13","78.32","48.82","8089.0"
"01/24/2005 14","115.60","48.97","8089.0"
"01/24/2005 15","22.56","48.98","8081.0"
"01/24/2005 16","25.28","48.98","8096.0"
"01/24/2005 17","11.12","48.68","8182.0"
"01/24/2005 18","92.50","48.79","8501.0"
"01/24/2005 19","93.50","48.91","8522.0"
"01/24/2005 20","146.51","49.10","8350.0"
"01/24/2005 21","42.30","48.92","8252.0"
"01/24/2005 22","33.47","48.82","7853.0"
"01/24/2005 23","10.84","48.75","7724.0"
"01/24/2005 24","10.84","48.74","7380.0"
"01/25/2005 01","10.84","48.72","7130.0"
"01/25/2005 02","10.84","48.69","7023.0"
"01/25/2005 03","10.84","48.69","6956.0"
"01/25/2005 04","10.84","48.69","6945.0"
